project,description,version,developers,url,year,licenses,license urls,dependency
Android Support Library fragment,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.5.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/fragment#1.5.7,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.fragment:fragment:1.5.7
Android Support Library Interpolators,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.interpolator:interpolator:1.0.0
Android Support Library loader,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.loader:loader:1.0.0
Android Support Library Local Broadcast Manager,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.localbroadcastmanager:localbroadcastmanager:1.0.0
Android Support Library Print,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.print:print:1.0.0
Android Support Library View Pager,The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.viewpager:viewpager:1.0.0
Android Support VectorDrawable,Android Support VectorDrawable,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.vectordrawable:vectordrawable:1.1.0
Android Tracing,Android Tracing,1.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/tracing#1.2.0,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.tracing:tracing:1.2.0
AndroidX Autofill,AndroidX Autofill,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.autofill:autofill:1.0.0
AndroidX Futures,Androidx implementation of Guava's ListenableFuture,1.1.0,The Android Open Source Project,https://developer.android.com/topic/libraries/architecture/index.html,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.concurrent:concurrent-futures:1.1.0
AndroidX Security,AndroidX Security,1.1.0-alpha06,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/security#1.1.0-alpha06,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.security:security-crypto:1.1.0-alpha06
androidx.core:core-viewtree,Provides ViewTree extensions packaged for use by other core androidx libraries,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/core#1.0.0,2024,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core-viewtree:1.0.0
androidx.customview:poolingcontainer,Utilities for listening to the lifecycle of containers that manage their child Views' lifecycle, such as RecyclerView,1.0.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/customview#1.0.0,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.customview:customview-poolingcontainer:1.0.0
Annotation,Provides source annotations for tooling and readability.,1.8.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/annotation#1.8.1,2013,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation-jvm:1.8.1
AppCompat,Provides backwards-compatible implementations of UI-related Android SDK functionality, including dark mode and Material theming.,1.7.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/appcompat#1.7.0,2011,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.appcompat:appcompat:1.7.0
AppCompat Resources,Provides backward-compatible implementations of resource-related Android SDKfunctionality, including color state list theming.,1.7.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/appcompat#1.7.0,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.appcompat:appcompat-resources:1.7.0
Biometric,The Biometric library is a static library that you can add to your Android application. It invokes BiometricPrompt on devices running P and greater, and on older devices will show a compat dialog. Compatible on devices running API 14 or later.,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/biometric#1.1.0,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.biometric:biometric:1.1.0
coil,An image loading library for Android backed by Kotlin Coroutines.,2.5.0,Coil Contributors,https://github.com/coil-kt/coil,2019,The Apache License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,io.coil-kt:coil:2.5.0
coil-base,An image loading library for Android backed by Kotlin Coroutines.,2.5.0,Coil Contributors,https://github.com/coil-kt/coil,2019,The Apache License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,io.coil-kt:coil-base:2.5.0
coil-compose,An image loading library for Android backed by Kotlin Coroutines.,2.5.0,Coil Contributors,https://github.com/coil-kt/coil,2019,The Apache License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,io.coil-kt:coil-compose:2.5.0
coil-compose-base,An image loading library for Android backed by Kotlin Coroutines.,2.5.0,Coil Contributors,https://github.com/coil-kt/coil,2019,The Apache License, Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,io.coil-kt:coil-compose-base:2.5.0
collections,Standalone efficient collections.,1.4.4,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/collection#1.4.4,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.collection:collection-jvm:1.4.4
Collections Kotlin Extensions,Kotlin extensions for 'collection' artifact,1.4.4,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/collection#1.4.4,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.collection:collection-ktx:1.4.4
com.navercorp.nid:oauth,Naver Id Login Sdk,5.10.0,"Namhoon Kim,Dayeon Lee",https://github.com/naver/naveridlogin-sdk-android,null,Apache License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.html,com.navercorp.nid:oauth:5.10.0
common,null,18.10.0,null,null,null,ML Kit Terms of Service,https://developers.google.com/ml-kit/terms,com.google.mlkit:common:18.10.0
Compose Animation,Compose animation library,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-animation#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.animation:animation-jvmstubs:1.7.8
Compose Animation,Compose animation library,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-animation#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.animation:animation-android:1.7.8
Compose Animation Core,Animation engine and animation primitives that are the building blocks of the Compose animation library,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-animation#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.animation:animation-core-jvmstubs:1.7.8
Compose Animation Core,Animation engine and animation primitives that are the building blocks of the Compose animation library,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-animation#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.animation:animation-core-android:1.7.8
Compose Foundation,Higher level abstractions of the Compose UI primitives. This library is design system agnostic, providing the high-level building blocks for both application and design-system developers,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.7.8,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.foundation:foundation-jvmstubs:1.7.8
Compose Foundation,Higher level abstractions of the Compose UI primitives. This library is design system agnostic, providing the high-level building blocks for both application and design-system developers,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.7.8,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.foundation:foundation-android:1.7.8
Compose Geometry,Compose classes related to dimensions without units,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-geometry-jvmstubs:1.7.8
Compose Geometry,Compose classes related to dimensions without units,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-geometry-android:1.7.8
Compose Graphics,Compose graphics,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-graphics-jvmstubs:1.7.8
Compose Graphics,Compose graphics,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-graphics-android:1.7.8
Compose Layouts,Compose layout implementations,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.foundation:foundation-layout-jvmstubs:1.7.8
Compose Layouts,Compose layout implementations,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-foundation#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.foundation:foundation-layout-android:1.7.8
Compose Material Icons Core,Compose Material Design core icons. This module contains the most commonly used set of Material icons.,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material:material-icons-core-desktop:1.7.8
Compose Material Icons Core,Compose Material Design core icons. This module contains the most commonly used set of Material icons.,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material:material-icons-core-android:1.7.8
Compose Material Ripple,Material ripple used to build interactive components,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material:material-ripple-jvmstubs:1.7.8
Compose Material Ripple,Material ripple used to build interactive components,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material:material-ripple-android:1.7.8
Compose Material3 Components,Compose Material You Design Components library,1.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material3#1.3.1,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material3:material3-desktop:1.3.1
Compose Material3 Components,Compose Material You Design Components library,1.3.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-material3#1.3.1,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.material3:material3-android:1.3.1
Compose Navigation,Compose integration with Navigation,2.7.5,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/navigation#2.7.5,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-compose:2.7.5
Compose Runtime,Tree composition support for code generated by the Compose compiler plugin and corresponding public API,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-jvmstubs:1.7.8
Compose Runtime,Tree composition support for code generated by the Compose compiler plugin and corresponding public API,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-android:1.7.8
Compose Saveable,Compose components that allow saving and restoring the local ui state,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-saveable-jvmstubs:1.7.8
Compose Saveable,Compose components that allow saving and restoring the local ui state,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-runtime#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.runtime:runtime-saveable-android:1.7.8
Compose UI,Compose UI primitives. This library contains the primitives that form the Compose UI Toolkit, such as drawing, measurement and layout.,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-jvmstubs:1.7.8
Compose UI,Compose UI primitives. This library contains the primitives that form the Compose UI Toolkit, such as drawing, measurement and layout.,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-android:1.7.8
Compose UI Preview Tooling,Compose tooling library API. This library provides the API required to declare @Preview composables in user apps.,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-tooling-preview-jvmstubs:1.7.8
Compose UI Preview Tooling,Compose tooling library API. This library provides the API required to declare @Preview composables in user apps.,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2021,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-tooling-preview-android:1.7.8
Compose UI Text,Compose Text primitives and utilities,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-text-jvmstubs:1.7.8
Compose UI Text,Compose Text primitives and utilities,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-text-android:1.7.8
Compose Unit,Compose classes for simple units,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-unit-jvmstubs:1.7.8
Compose Unit,Compose classes for simple units,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-unit-android:1.7.8
Compose Util,Internal Compose utilities used by other modules,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-util-jvmstubs:1.7.8
Compose Util,Internal Compose utilities used by other modules,1.7.8,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/compose-ui#1.7.8,2020,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.compose.ui:ui-util-android:1.7.8
ConstraintLayout,This library offers a flexible and adaptable way to position and animate widgets,2.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/constraintlayout#2.2.0,2022,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.constraintlayout:constraintlayout:2.2.0
ConstraintLayout Core,This library contains engines and algorithms for constraint based layout and complex animations (it is used by the ConstraintLayout library),1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/constraintlayout#1.1.0,2022,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.constraintlayout:constraintlayout-core:1.1.0
Converter: Gson,A Retrofit Converter which uses Gson for serialization.,2.9.0,Square, Inc.,https://github.com/square/retrofit,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.retrofit2:converter-gson:2.9.0
Core,Provides backward-compatible implementations of Android platform APIs and features.,1.15.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/core#1.15.0,2015,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core:1.15.0
Core Kotlin Extensions,Kotlin extensions for 'core' artifact,1.15.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/core#1.15.0,2018,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.core:core-ktx:1.15.0
Dagger,A fast dependency injector for Android and Java.,2.51.1,null,https://github.com/google/dagger,null,Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.google.dagger:dagger:2.51.1
Dagger Lint Rules AAR Distribution,A fast dependency injector for Android and Java.,2.51.1,null,https://github.com/google/dagger,null,Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,com.google.dagger:dagger-lint-aar:2.51.1
error-prone annotations,null,2.15.0,null,null,null,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.errorprone:error_prone_annotations:2.15.0
Experimental annotation,Java annotation for use on unstable Android API surfaces. When used in conjunction with the Experimental annotation lint checks, this annotation provides functional parity with Kotlin's Experimental annotation.,1.4.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/annotation#1.4.1,2019,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.annotation:annotation-experimental:1.4.1
FindBugs-jsr305,JSR305 Annotations for Findbugs,3.0.2,null,http://findbugs.sourceforge.net/,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.code.findbugs:jsr305:3.0.2
firebase-analytics,null,21.3.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.firebase:firebase-analytics:21.3.0
firebase-annotations,null,16.2.0,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-annotations:16.2.0
firebase-appcheck-interop,null,17.0.0,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-appcheck-interop:17.0.0
firebase-auth,null,22.1.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.firebase:firebase-auth:22.1.0
firebase-auth-interop,null,20.0.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.firebase:firebase-auth-interop:20.0.0
firebase-auth-ktx,null,22.1.0,null,null,null,Android Software Development Kit License,https://developer.android.com/studio/terms.html,com.google.firebase:firebase-auth-ktx:22.1.0
firebase-common,null,20.3.3,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-common:20.3.3
firebase-common-ktx,null,20.3.3,null,null,null,The Apache Software License, Version 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.firebase:firebase-common-ktx:20.3.3
